Determinants of matching					
	(1)	(2)	(3)	(4)	(5)
			State	state	
VARIABLES	Basic no controls	State and Cohort	cohort and county 1910	cohort and county dummies	Add individual controls
					
accepted	0.261	0.270	0.147	0.0676	0.0659
	[0.262]	[0.238]	[0.215]	[0.240]	[0.243]
childageyears					0.00992
					[0.054]
length_name					-0.133***
					[0.047]
sib2					0.184
					[0.239]
sib3					0.0591
					[0.293]
sib4					0.00374
					[0.312]
sib5					0.121
					[0.324]
sib6					0.500
					[0.327]
sib7					0.442
					[0.384]
sib8					0.0683
					[0.513]
maxage					0.0111
					[0.025]
minage					-0.000279
					[0.030]
divorced					0.391
					[0.402]
husbandaway					0.394*
					[0.237]
marst_miss					0.667*
					[0.387]
datemiss					3.316***
					[0.310]
o.CID2				-	-
					
CID3				0.757	-1.768*
				[0.756]	[1.065]
CID4				2.419***	1.873*
				[0.807]	[1.070]
CID5				2.672***	0.335
				[0.807]	[1.083]
CID6				0.663	-2.008**
				[0.730]	[0.965]
CID7				2.653***	-0.0920
				[0.756]	[1.072]
CID8				-0.597	-1.379
				[0.746]	[0.968]
CID9				3.593***	-0.352
				[0.775]	[1.030]
CID10				3.141***	-1.227
				[0.770]	[1.019]
CID11				1.684**	-0.856
				[0.767]	[1.012]
CID12				0.135	-2.333**
				[0.758]	[1.093]
CID13				2.286***	-1.056
				[0.752]	[1.015]
o.CID14				-	-
					
CID15				-0.251	-1.054
				[1.100]	[1.578]
CID16				-0.635	-0.430
				[1.126]	[1.491]
CID17				-0.0281	-1.756
				[1.144]	[1.511]
CID18				-0.827	-0.808
				[1.148]	[1.488]
o.CID19				-	-
					
CID20				1.926**	1.624*
				[0.765]	[0.957]
CID21				-0.532	-0.718
				[0.747]	[0.976]
CID22				-0.511	-0.754
				[0.801]	[0.974]
CID23				-0.738	-1.192
				[1.183]	[1.460]
o.CID24				-	-
					
o.CID25				-	-
					
CID26				0.0173	-1.046
				[1.301]	[1.674]
CID27				-0.788	-1.156
				[1.213]	[1.491]
o.CID28				-	-
					
o.CID29				-	-
					
o.CID30				-	-
					
CID31				-0.276	-1.411
				[1.280]	[1.541]
CID32				0.398	-0.817
				[1.304]	[1.608]
o.CID33				-	-
					
CID34				-0.761	-0.773
				[0.844]	[0.954]
CID35				0.534	0.610
				[0.812]	[0.968]
CID36				0.152	-0.562
				[0.839]	[1.130]
CID37				-0.0740	-0.0720
				[0.830]	[0.933]
CID38				0.282	0.221
				[0.836]	[0.952]
CID39				0.620	-0.0929
				[0.820]	[1.093]
CID40				0.390	0.373
				[0.818]	[0.974]
o.CID41				-	-
					
CID42				0.274	-0.359
				[0.809]	[1.102]
CID43				-0.916	-1.276
				[0.832]	[1.025]
CID44				-0.693	-0.788
				[0.825]	[0.956]
CID45				-0.301	-0.373
				[0.825]	[0.961]
CID46				1.200	-0.00902
				[0.816]	[0.964]
CID47				0.307	-0.263
				[0.828]	[1.095]
CID48				0.425	-0.0181
				[0.816]	[0.948]
CID49				-0.497	-0.605
				[0.829]	[0.958]
CID50				1.367*	0.288
				[0.800]	[1.011]
CID51				-0.160	-0.469
				[0.608]	[0.633]
o.CID52				-	-
					
CID53				-0.587	-1.582**
				[0.609]	[0.684]
CID54				1.614**	1.335**
				[0.639]	[0.663]
CID55				0.115	-0.180
				[0.609]	[0.660]
o.CID56				-	-
					
CID57				-0.380	-0.984
				[0.826]	[0.891]
CID58				-0.529	-1.916*
				[0.832]	[0.993]
CID59				-0.724	-1.358
				[0.841]	[0.939]
o.CID60				-	-
					
CID61				-0.694	-1.195
				[0.815]	[0.883]
CID62				0.262	-0.595
				[0.809]	[0.921]
CID63				0.578	-0.0463
				[0.872]	[0.963]
CID64				-0.662	-1.239
				[0.793]	[0.777]
CID65				-0.0379	-0.464
				[0.852]	[0.824]
CID66				-0.348	-0.807
				[0.818]	[0.775]
o.CID67				-	-
					
CID68				-0.625	-1.130
				[0.790]	[0.763]
CID69				-0.266	-0.842
				[0.788]	[0.741]
CID70				0.462	-0.544
				[0.853]	[0.848]
o.CID71				-	-
					
o.CID72				-	-
					
o.CID73				-	-
					
o.CID74				-	-
					
CID75				0.462	0.0778
				[0.801]	[1.193]
manwrat		1.282	0.954	1.301	0.625
		[1.223]	[1.164]	[1.406]	[1.742]
ageent		-0.328**	-0.0803	0.0968	0.220
		[0.167]	[0.150]	[0.188]	[0.193]
labage		-0.772***	-0.808***	-0.816***	-0.853***
		[0.293]	[0.204]	[0.218]	[0.216]
contschl		0.123	0.239	0.246	0.178
		[0.189]	[0.189]	[0.284]	[0.313]
gen_total		0.180*	0.0442	-0.0924	-0.0868
		[0.097]	[0.091]	[0.112]	[0.114]
char_total		0.295	0.810***	0.780**	0.531
		[0.282]	[0.262]	[0.391]	[0.506]
tot_edu_schools		-1.304***	-1.053***	-0.647	-0.689
		[0.271]	[0.322]	[0.418]	[0.437]
work_required		0.203	0.00397	0.0988	-0.0992
		[0.290]	[0.286]	[0.384]	[0.378]
limited_duration		-0.0672	-0.454	-0.441	-0.296
		[0.334]	[0.306]	[0.497]	[0.558]
monthlyallowfirstchild		0.0661*	0.0702***	0.0688**	0.0723**
		[0.034]	[0.027]	[0.033]	[0.037]
monthlyallowaddchild		-0.115***	-0.121***	-0.0681	-0.0473
		[0.043]	[0.033]	[0.091]	[0.109]
BY2					-0.474
					[1.201]
BY3					-1.024
					[0.852]
BY4					0.478
					[0.724]
BY5					-0.920
					[0.650]
BY6					-0.362
					[0.721]
BY7					0.552
					[0.771]
BY8					0.286
					[0.751]
BY9					0.165
					[0.681]
BY10					-0.214
					[0.820]
BY11					-0.260
					[0.866]
BY12					0.468
					[0.803]
BY13					-0.0714
					[0.949]
BY14					-0.0950
					[0.958]
BY15					0.401
					[1.003]
BY16					-0.110
					[1.054]
BY17					-0.218
					[1.159]
BY18					0.385
					[1.075]
BY19					-0.0946
					[1.112]
BY20					0.334
					[1.249]
BY21					0.100
					[1.125]
BY22					0.209
					[1.250]
BY23					0.493
					[1.288]
BY24					0.745
					[1.312]
BY25					0.234
					[1.391]
BY26					0.835
					[1.397]
yob1		0.0101	-0.0200	-0.0207	
		[0.032]	[0.032]	[0.035]	
yob2		0.000729	0.00136	0.00112	
		[0.001]	[0.001]	[0.001]	
sei_mean			-0.169**		
			[0.073]		
sei_sd			0.0983		
			[0.083]		
p_urban			0.0636		
			[0.692]		
p_widows			3.356		
			[3.478]		
children_singlemom			-8.457***		
			[2.356]		
poverty			-3.965*		
			[2.332]		
fem_lfp			2.033		
			[2.980]		
child_labor			-1.777		
			[1.386]		
val_farm			-0.000225		
			[0.002]		
Constant	-3.394***	21.53***	13.92***	5.517	10.46
	[0.218]	[6.954]	[5.339]	[7.433]	[7.947]
					
Observations	8,200	8,200	8,200	7,683	7,682
Mean	0.0325				
Robust standard errors in brackets					
*** p<0.01, ** p<0.05, * p<0.1					
