	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	year	yob	childageyears	datemiss	numkids	maxage	minage	length_name	widow	divorced	husbandaway	marst_miss	famearn	miss	nmatches	keepssn	ageatdeath2	logageatdeath
																		
accepted	0.871	1.397**	-0.508***	0.014	0.171	-0.380	-0.799***	0.060	0.023	-0.005	0.007	-0.026	-28.335**	-0.050***	0.061***	-0.006	0.698	0.007
	[0.694]	[0.693]	[0.124]	[0.011]	[0.133]	[0.246]	[0.170]	[0.054]	[0.041]	[0.011]	[0.024]	[0.048]	[13.886]	[0.017]	[0.018]	[0.016]	[0.511]	[0.008]
Constant	1,920.808***	1,912.045***	8.740***	0.020***	3.598***	11.868***	5.623***	6.385***	0.512***	0.034***	0.178***	0.277***	412.528***	0.533***	0.487***	1.186***	72.299***	4.267***
	[0.720]	[0.718]	[0.142]	[0.007]	[0.162]	[0.315]	[0.177]	[0.054]	[0.073]	[0.012]	[0.033]	[0.101]	[16.565]	[0.022]	[0.024]	[0.008]	[0.530]	[0.008]
																		
Observations	16,069	16,069	16,069	16,069	16,069	16,068	16,068	16,069	16,069	16,069	16,069	16,069	15,884	16,069	16,069	8,193	8,200	8,200
R-squared	0.003	0.006	0.002	0.001	0.001	0.001	0.005	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.001	0.000	0.000	0.000
Robust standard errors in brackets																		
*** p<0.01, ** p<0.05, * p<0.1																		
