	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	year	yob	childageyears	datemiss	numkids	maxage	minage	length_name	widow	divorced	husbandaway	marst_miss	famearn	miss	nmatches	keepssn	ageatdeath2	logageatdeath
																		
accepted	0.912	1.430*	-0.519***	0.011*	0.193	-0.395	-0.775***	0.015	0.017	0.001	0.017	-0.035	-36.073***	0.000	0.000	-0.017	0.996*	0.013*
	[0.779]	[0.766]	[0.155]	[0.006]	[0.157]	[0.261]	[0.187]	[0.078]	[0.045]	[0.014]	[0.025]	[0.056]	[13.515]	[0.000]	[0.000]	[0.012]	[0.519]	[0.008]
Constant	1,920.997***	1,912.163***	8.827***	0.007*	3.538***	11.861***	5.630***	6.345***	0.532***	0.030***	0.171***	0.268**	423.331***	0.000	1.000	1.183***	72.440***	4.269***
	[0.749]	[0.730]	[0.151]	[0.004]	[0.176]	[0.323]	[0.208]	[0.076]	[0.078]	[0.010]	[0.034]	[0.107]	[15.010]	[0.000]	[0.000]	[0.009]	[0.537]	[0.008]
																		
Observations	7,860	7,860	7,860	7,860	7,860	7,859	7,859	7,860	7,860	7,860	7,860	7,860	7,860	7,860	7,860	7,860	7,860	7,860
R-squared	0.004	0.006	0.002	0.001	0.001	0.001	0.005	0.000	0.000	0.000	0.000	0.001	0.001			0.000	0.001	0.001
Robust standard errors in brackets																		
*** p<0.01, ** p<0.05, * p<0.1																		
