Determinants of generosity--full controls						
	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	full accepted	matched accepted	full logamount	matched logamount	full logdur	matched logdur
						
childageyears	-0.00312	-0.00256	0.00841	0.00177	-0.0144	-0.0138
	[0.005]	[0.004]	[0.008]	[0.007]	[0.011]	[0.017]
length_name	0.00175	-0.000330	-0.000433	0.00240	0.00453	0.00779
	[0.002]	[0.003]	[0.003]	[0.003]	[0.008]	[0.010]
sib2	0.0632***	0.0349**	0.265***	0.273***	0.268***	0.331***
	[0.012]	[0.017]	[0.025]	[0.033]	[0.063]	[0.061]
sib3	0.0732***	0.0512***	0.479***	0.491***	0.413***	0.511***
	[0.014]	[0.019]	[0.034]	[0.042]	[0.064]	[0.062]
sib4	0.0888***	0.0626***	0.605***	0.624***	0.437***	0.545***
	[0.020]	[0.024]	[0.046]	[0.055]	[0.063]	[0.062]
sib5	0.0933***	0.0573*	0.748***	0.755***	0.524***	0.578***
	[0.026]	[0.032]	[0.052]	[0.061]	[0.083]	[0.092]
sib6	0.0927***	0.0644**	0.804***	0.807***	0.544***	0.589***
	[0.023]	[0.031]	[0.064]	[0.078]	[0.108]	[0.121]
sib7	0.102***	0.0660*	0.946***	0.922***	0.479***	0.573***
	[0.031]	[0.038]	[0.071]	[0.093]	[0.125]	[0.120]
sib8	0.0589*	0.0707	0.977***	0.975***	0.516***	0.586***
	[0.034]	[0.046]	[0.069]	[0.077]	[0.126]	[0.125]
maxage	-0.00181	-0.00138	-0.00864***	-0.00547*	0.000204	-0.00666
	[0.002]	[0.002]	[0.003]	[0.003]	[0.007]	[0.006]
minage	-0.00245	-0.00255	-0.0132***	-0.0133***	-0.0207***	-0.0178**
	[0.002]	[0.002]	[0.003]	[0.003]	[0.007]	[0.007]
divorced	-0.0568*	-0.0418	0.000120	0.00865	-0.100***	0.0148
	[0.032]	[0.034]	[0.021]	[0.028]	[0.036]	[0.030]
husbandaway	-0.00618	-0.00406	0.000555	-0.00651	-0.115***	-0.0814***
	[0.009]	[0.010]	[0.015]	[0.017]	[0.026]	[0.026]
marst_miss	-0.0935	-0.116	-0.0365	-0.0333	0.00990	0.0764
	[0.061]	[0.076]	[0.032]	[0.038]	[0.086]	[0.065]
datemiss	-0.0212	0.0397	0.0488	0.0433	0.393*	0.356*
	[0.033]	[0.039]	[0.038]	[0.065]	[0.197]	[0.211]
manwrat	-0.0976	-0.115	-0.0358	0.194	0.516	0.547
	[0.207]	[0.207]	[0.391]	[0.383]	[0.470]	[0.491]
ageent	0.00386	0.00426	-0.0676**	-0.0623*	-0.0416	-0.0152
	[0.012]	[0.012]	[0.033]	[0.036]	[0.071]	[0.078]
labage	-0.0228	-0.0271	-0.0193	-0.0367	0.301**	0.155
	[0.014]	[0.019]	[0.094]	[0.104]	[0.116]	[0.141]
contschl	0.0351	0.0462**	-0.0176	-0.0318	0.0489	0.108
	[0.025]	[0.019]	[0.076]	[0.081]	[0.077]	[0.104]
gen_total	0.00264	-0.00746	0.0254	0.0197	0.0623	0.0488
	[0.010]	[0.008]	[0.026]	[0.027]	[0.038]	[0.037]
char_total	0.0172	0.0261	0.533***	0.586***	-0.0135	-0.0196
	[0.057]	[0.058]	[0.127]	[0.132]	[0.130]	[0.123]
tot_edu_schools	0.0500	0.0522*	0.144	0.182	0.0581	-0.0271
	[0.032]	[0.030]	[0.126]	[0.136]	[0.114]	[0.134]
work_required	0.0413	0.0713	0.180**	0.183**	-0.271**	-0.255***
	[0.035]	[0.045]	[0.075]	[0.085]	[0.113]	[0.084]
limited_duration	-0.0174	-0.0249	-0.0233	-0.00701	0.143	0.102
	[0.060]	[0.054]	[0.063]	[0.066]	[0.158]	[0.119]
monthlyallowfirstchild	0.00173	0.00295	0.0108	0.0133	-0.0261**	-0.00802
	[0.004]	[0.004]	[0.010]	[0.011]	[0.013]	[0.014]
monthlyallowaddchild	-0.0105	-0.0180	-0.0426*	-0.0500*	-0.00326	-0.0190
	[0.010]	[0.013]	[0.025]	[0.026]	[0.031]	[0.041]
BY2	0.00814	0.0140	0.0334	-0.0300	0.0460	-0.199
	[0.050]	[0.072]	[0.053]	[0.062]	[0.109]	[0.141]
BY3	0.00312	-0.0794	-0.00852	-0.121**	-0.0201	-0.0448
	[0.048]	[0.069]	[0.040]	[0.058]	[0.074]	[0.089]
BY4	0.0419	0.00149	0.0777	-0.0233	0.0420	-0.184*
	[0.031]	[0.055]	[0.054]	[0.063]	[0.098]	[0.109]
BY5	0.0287	0.00292	0.0828	-0.0205	-0.0190	-0.125
	[0.043]	[0.056]	[0.059]	[0.060]	[0.146]	[0.194]
BY6	0.0632	0.0337	0.0858	0.0179	0.00251	-0.208
	[0.046]	[0.060]	[0.056]	[0.058]	[0.114]	[0.128]
BY7	0.0481	0.0263	0.159**	0.0632	-0.0163	-0.0887
	[0.042]	[0.054]	[0.061]	[0.064]	[0.138]	[0.152]
BY8	0.0818*	0.0476	0.178***	0.0592	-0.0385	-0.158
	[0.049]	[0.069]	[0.066]	[0.062]	[0.163]	[0.218]
BY9	0.0773*	0.0453	0.161**	0.0713	-0.0787	-0.264
	[0.045]	[0.059]	[0.075]	[0.072]	[0.130]	[0.158]
BY10	0.0639	0.0254	0.195**	0.0962	0.0269	-0.0153
	[0.050]	[0.060]	[0.081]	[0.078]	[0.189]	[0.233]
BY11	0.0721	0.0753	0.208**	0.108	0.0289	-0.0327
	[0.054]	[0.064]	[0.090]	[0.087]	[0.183]	[0.251]
BY12	0.0658	0.0360	0.219**	0.104	-0.0213	-0.126
	[0.057]	[0.072]	[0.095]	[0.083]	[0.194]	[0.296]
BY13	0.0424	0.0190	0.229**	0.108	-0.0408	-0.167
	[0.062]	[0.071]	[0.105]	[0.101]	[0.203]	[0.259]
BY14	0.0544	0.0651	0.225**	0.117	-0.0370	-0.125
	[0.061]	[0.074]	[0.105]	[0.098]	[0.230]	[0.302]
BY15	0.0457	0.0139	0.220*	0.0788	-0.0361	-0.134
	[0.070]	[0.081]	[0.118]	[0.108]	[0.234]	[0.330]
BY16	0.0498	0.0332	0.231*	0.0908	-0.00541	-0.129
	[0.073]	[0.084]	[0.125]	[0.116]	[0.253]	[0.328]
BY17	0.0384	0.0184	0.245*	0.0987	0.101	-0.00642
	[0.072]	[0.087]	[0.129]	[0.119]	[0.242]	[0.349]
BY18	0.0424	0.0265	0.243*	0.106	-0.00795	-0.168
	[0.082]	[0.090]	[0.134]	[0.123]	[0.256]	[0.349]
BY19	0.0249	0.0163	0.255*	0.110	-0.119	-0.184
	[0.084]	[0.090]	[0.142]	[0.130]	[0.250]	[0.358]
BY20	0.0252	0.0245	0.236	0.0732	-0.0194	-0.123
	[0.086]	[0.098]	[0.149]	[0.139]	[0.285]	[0.414]
BY21	0.0203	0.00170	0.225	0.0668	-0.0874	-0.0971
	[0.092]	[0.101]	[0.158]	[0.145]	[0.278]	[0.367]
BY22	0.0149	0.0236	0.187	0.00340	-0.0345	-0.113
